x;y;xn;yn;ID;1;2;3;4
4374;566;0,930044652;0,390086207;1208;#N/A;#N/A;#N/A;#N/A
4116;212;0,875186051;0,771551724;1209;#N/A;#N/A;#N/A;#N/A
4257;413;0,905166915;0,554956897;540;nor;14;1;-
4137;756;0,879651286;0,185344828;541;nor;33;2;+
3885;555;0,826068467;0,401939655;542;nor;0;3;-
3715;413;0,789921327;0,554956897;543;nor;0;4;+
3680;753;0,782479269;0,188577586;544;nor;0;5;-
3951;215;0,840102063;0,768318966;545;nor;33;6;+
3527;214;0,749946842;0,769396552;546;nor;0;7;-
3441;565;0,731660642;0,391163793;547;nor;16;8;+
3195;731;0,679353604;0,212284483;548;nor;16;9;-
2954;566;0,628109717;0,390086207;549;nor;0;10;+
2723;720;0,578992133;0,224137931;550;nor;11;11;-
3344;354;0,711035509;0,618534483;551;nor;0;12;+
3095;357;0,65809058;0,615301724;552;nor;0;13;-
2962;307;0,629810759;0,669181034;553;nor;0;14;+
2737;392;0,581968956;0,577586207;1224;#N/A;#N/A;15;-
2494;210;0,530299809;0,773706897;1225;#N/A;#N/A;16;+
2507;640;0,533064002;0,310344828;556;nor;2;17;-
2512;743;0,534127153;0,199353448;557;nor;1;18;+
2388;512;0,507761004;0,448275862;1228;#N/A;#N/A;19;-
2392;621;0,508611525;0,330818966;1229;#N/A;#N/A;20;+
2383;755;0,506697852;0,186422414;560;nor;2;21;-
2280;645;0,484796938;0,304956897;561;nor;0;22;+
2020;628;0,429513077;0,323275862;562;nor;4;23;-
2055;294;0,436955135;0,683189655;563;nor;1;24;+
1843;490;0,391877525;0,471982759;564;nor;2;25;-
1898;665;0,403572188;0,283405172;565;nor;0;26;+
1762;616;0,374654476;0,336206897;566;nor;0;27;-
1592;353;0,338507336;0,619612069;567;nor;10;28;+
1516;621;0,322347438;0,330818966;568;nor;8;29;-
1590;737;0,338082075;0,205818966;569;nor;2;30;+
1408;185;0,299383372;0,800646552;570;nor;6;31;-
1443;562;0,306825431;0,394396552;571;nor;5;32;+
1304;738;0,277269828;0,204741379;572;nor;2;33;-
1195;329;0,254093132;0,645474138;573;nor;10;34;+
1045;587;0,222198597;0,367456897;574;nor;10;35;-
946;198;0,201148203;0,786637931;575;nor;6;36;+
753;333;0,160110568;0,641163793;576;nor;10;37;-
809;748;0,172017861;0,193965517;577;nor;7;38;+
575;207;0,122262386;0,776939655;578;nor;11;39;-
633;582;0,134594939;0,372844828;579;nor;6;40;+
462;620;0,098235169;0,331896552;580;nor;0;41;-
582;780;0,123750797;0,159482759;581;nor;0;42;+
456;721;0,096959388;0,223060345;1252;#N/A;#N/A;43;-
371;600;0,078885818;0,353448276;583;nor;0;44;+
250;509;0,053157559;0,451508621;585;nor;2;45;-
250;745;0,053157559;0,197198276;586;nor;1;46;+
1721;702;0,365936636;0,243534483;1259;#N/A;#N/A;47;-
